cs|Agilent Technologies Inc. Common Stock
cs|Alcoa Corporation Common Stock 
cs|Ares Acquisition Corporation Class A Ordinary Shares
ad|ATA Creativity Global American Depositary Shares
ut|Armada Acquisition Corp. I Unit
cs|Aadi Bioscience Inc. Common Stock
cs|Arlington Asset Investment Corp Class A (new)
ps|Arlington Asset Investment Corp 7.00% 
ps|Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   
ps|Arlington Asset Investment Corp 6.000% Senior Notes Due 2026
cs|American Airlines Group Inc. Common Stock
cs|Atlantic American Corporation Common Stock
cs|Aarons Holdings Company Inc. Common Stock 
cs|Applied Optoelectronics Inc. Common Stock
cs|AAON Inc. Common Stock
cs|Advance Auto Parts Inc Advance Auto Parts Inc W/I
cs|Apple Inc. Common Stock
cs|Accelerate Acquisition Corp. Class A Common Stock
cs|American Assets Trust Inc. Common Stock
cs|Autoscope Technologies Corporation Common Stock
cs|Atlas Air Worldwide Holdings NEW Common Stock
ut|AllianceBernstein Holding L.P.  Units
ad|ABB Ltd Common Stock
cs|AbbVie Inc. Common Stock
cs|AmerisourceBergen Corporation Common Stock
cs|Ameris Bancorp Common Stock
cs|AbCellera Biologics Inc. Common Shares
ad|Abcam plc American Depositary Shares
cs|Abeona Therapeutics Inc. Common Stock
ad|Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
cs|Asbury Automotive Group Inc Common Stock
cs|ABG Acquisition Corp. I Class A Ordinary Shares
cs|ARCA biopharma Inc. Common Stock
cs|ABM Industries Incorporated Common Stock
cs|ABIOMED Inc. Common Stock
cs|Airbnb Inc. Class A Common Stock
cs|Acumen Pharmaceuticals Inc. Common Stock
cs|Arbor Realty Trust Common Stock
ps|Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share
ps|Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock
cs|Absci Corporation Common Stock
cs|Absolute Software Corporation Common Stock
cs|Abbott Laboratories Common Stock
cs|Allegiance Bancshares Inc. Common Stock
cs|Arbutus Biopharma Corporation Common Stock
cs|ABVC Biopharma Inc. Common Stock
cs|Associated Capital Group Inc. Common Stock
cs|Arcosa Inc. Common Stock 
cs|ACADIA Pharmaceuticals Inc. Common Stock
cs|Atlantic Coastal Acquisition Corp. Class A Common Stock
ut|Atlantic Coastal Acquisition Corp. Unit
wt|Atlantic Coastal Acquisition Corp. Warrant
cs|Aurora Cannabis Inc. Common Shares
cs|Ace Global Business Acquisition Limited Ordinary Shares
ut|Ace Global Business Acquisition Limited Unit
wt|Ace Global Business Acquisition Limited Warrant
cs|Atlantic Capital Bancshares Inc. Common Stock
cs|American Campus Communities Inc Common Stock
cs|Accolade Inc. Common Stock
cs|Acco Brands Corporation Common Stock
cs|Accel Entertainment Inc. 
cs|Acer Therapeutics Inc. Common Stock (DE)
cs|Adicet Bio Inc. Common Stock 
cs|ACE Convergence Acquisition Corp. Class A Ordinary Shares
ut|ACE Convergence Acquisition Corp. Unit
wt|ACE Convergence Acquisition Corp. Warrant
cs|Arch Capital Group Ltd. Common Stock
ps|Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G
ps|Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F
ps|Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs
ad|Aluminum Corporation of China Limited American Depositary Shares
cs|Acadia Healthcare Company Inc. Common Stock
ad|Achilles Therapeutics plc American Depositary Shares
cs|Achieve Life Sciences Inc. Common Shares
cs|Albertsons Companies Inc. Class A Common Stock
cs|Atlas Crest Investment Corp. Class A Common Stock
cs|Atlas Crest Investment Corp. II Class A Common Stock
cs|AC Immune SA Common Stock
cs|ACI Worldwide Inc. Common Stock
ut|Ackrell SPAC Partners I Co. Subunits
ut|Ackrell SPAC Partners I Co. Units
wt|Ackrell SPAC Partners I Co. Warrants
cs|Axcelis Technologies Inc. Common Stock
cs|AECOM Common Stock
cs|ACM Research Inc. Class A Common Stock
cs|Accenture plc Class A Ordinary Shares (Ireland)
cs|ACNB Corporation Common Stock
cs|Acorda Therapeutics Inc. Common Stock
cs|Aberdeen Income Credit Strategies Fund Common Shares
ps|Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock
cs|Independence Holdings Corp. Class A Ordinary Share
ut|Independence Holdings Corp. Units
wt|Independence Holdings Corp. Warrant
cs|ACRES Commercial Realty Corp. Common Stock
ps|ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock 
ps|ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock
cs|Ares Commercial Real Estate Corporation Common Stock
cs|Acropolis Infrastructure Acquisition Corp. Class A Common Stock
cs|Aclaris Therapeutics Inc. Common Stock
cs|AcelRx Pharmaceuticals Inc. Common Stock
cs|Acasti Pharma Inc. Class A Common Stock
cs|ArcLight Clean Transition Corp. II Class A Ordinary Share
ut|ArcLight Clean Transition Corp. II Unit
wt|ArcLight Clean Transition Corp. II Warrant
cs|Acacia Research Corporation (Acacia Tech) Common Stock
cs|Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest
cs|ACV Auctions Inc. Class A Common Stock
cs|Acurx Pharmaceuticals Inc. Common Stock
ad|Adagene Inc. American Depositary Shares
ad|Adaptimmune Therapeutics plc American Depositary Shares
cs|Adobe Inc. Common Stock
cs|Agree Realty Corporation Common Stock
cs|ADC Therapeutics SA Common Shares
cs|26 Capital Acquisition Corp. Class A Common Stock
ut|26 Capital Acquisition Corp. Unit
wt|26 Capital Acquisition Corp. Warrant
cs|Advanced Emissions Solutions Inc. Common Stock
cs|Adit EdTech Acquisition Corp. Common Stock
cs|Aldel Financial Inc. Class A Common Stock
cs|Adagio Therapeutics Inc. Common Stock
cs|Analog Devices Inc. Common Stock
cs|Adial Pharmaceuticals Inc Common Stock
wt|Adial Pharmaceuticals Inc Warrant
cs|Archer-Daniels-Midland Company Common Stock
cs|ADMA Biologics Inc Common Stock
cs|Adamis Pharmaceuticals Corporation Common Stock
cs|Adamas Pharmaceuticals Inc. Common Stock
cs|Advent Technologies Holdings Inc. Class A Common Stock
cs|Adient plc Ordinary Shares 
wt|Advent Technologies Holdings Inc. Warrant
